#{"t_start": 1710450152.9052935, "env_id": "CartPole-v1"}
r,l,t
28.0,28,2.807104
70.0,70,3.483512
27.0,27,3.551328
23.0,23,3.802753
12.0,12,3.816274
14.0,14,4.031527
15.0,15,4.065084
43.0,43,4.479266
35.0,35,4.719315
114.0,114,5.469851
28.0,28,5.724531
39.0,39,5.9436
111.0,111,6.867484
95.0,95,7.592498
133.0,133,8.620218
179.0,179,10.09501
158.0,158,11.287228
423.0,423,14.435019
133.0,133,15.495817
129.0,129,16.594146
113.0,113,17.651345
161.0,161,18.802187
186.0,186,20.031691
166.0,166,21.430377
326.0,326,23.997569
500.0,500,35.606999
500.0,500,39.526538
500.0,500,43.295978
500.0,500,46.950032
500.0,500,51.012961
500.0,500,54.891437
500.0,500,65.954061
500.0,500,69.883245
500.0,500,73.575144
500.0,500,77.526195
500.0,500,81.475556
500.0,500,85.107322
500.0,500,89.090557
500.0,500,100.700913
500.0,500,104.388697
500.0,500,108.198613
500.0,500,111.944928
500.0,500,115.735613
500.0,500,119.670933
500.0,500,131.341191
500.0,500,135.283662
500.0,500,139.189384
500.0,500,142.954364
500.0,500,146.926183
500.0,500,150.646387
500.0,500,162.391502
500.0,500,166.211546
500.0,500,169.925994
500.0,500,173.773235
500.0,500,177.636392
500.0,500,181.275549
